Id,SalePrice
1461,119434.42129440949
1462,157843.70912190984
1463,189808.53029447733
1464,194629.29910187636
1465,218999.62574511208
1466,170472.60497503687
1467,173709.32494596648
1468,153788.44213597596
1469,201603.49614383504
1470,125582.62654933124
1471,148764.48480490822
1472,98828.52196146199
1473,102346.9858474094
1474,149633.64986168913
1475,110442.2334758302
1476,372512.84065420926
1477,266003.3206573805
1478,314337.4782594525
1479,297854.72551368806
1480,468186.3159839207
1481,297985.9188855775
1482,208312.57264403097
1483,171345.35404807804
1484,159126.9640842464
1485,177178.92320946208
1486,187470.25421245737
1487,339729.8013031414
1488,234016.01573779763
1489,203775.33257148822
1490,247089.40010393274
1491,195630.7557205693
1492,100327.76842087548
1493,187963.170646971
1494,313031.04689676396
1495,290060.579073355
1496,238197.11303853313
1497,177252.02621012172
1498,178392.57454590758
1499,164181.33446513684
1500,153887.70492782627
1501,180666.76123892993
1502,125803.95668727101
1503,322093.69003274874
1504,247088.32456133905
1505,223751.74563459834
1506,186825.89392394753
1507,259407.45053808158
1508,207535.8155077551
1509,152709.06860996337
1510,144178.3697827534
1511,161844.0645652661
1512,176838.2526476875
1513,154241.5806415833
1514,171001.69136764304
1515,200461.64391339757
1516,151719.17338206252
1517,169674.0473364042
1518,118739.55985073771
1519,213622.10184947544
1520,126086.20310776714
1521,135099.67370254768
1522,182304.83935241657
1523,123478.70727311654
1524,120755.54035747155
1525,118782.17615928061
1526,108806.4431645415
1527,107088.51739326629
1528,125921.9408258179
1529,164366.50296306415
1530,205814.85613196707
1531,139315.73464932942
1532,96229.32746628729
1533,159208.52960515037
1534,113532.70495997195
1535,148158.12709890757
1536,96981.09784872131
1537,102943.49288295292
1538,162250.17251974856
1539,218693.41384626218
1540,81579.56201002272
1541,145763.6247529145
1542,176638.34429063927
1543,187621.2066581151
1544,88627.69062864814
1545,117904.73052175892
1546,138766.80986263038
1547,143542.703197425
1548,151115.7118048547
1549,115944.37314229031
1550,144341.0967345609
1551,100017.77912289489
1552,166691.2574711693
1553,156739.09080056215
1554,109709.11527954729
1555,164359.7240929778
1556,59283.73848622147
1557,143714.8096014963
1558,104322.432180335
1559,104450.93951964256
1560,114851.72558189166
1561,124692.52220759014
1562,135375.75612853433
1563,121364.15953179123
1564,158882.06672275817
1565,156655.10539286968
1566,232125.4489826046
1567,86167.08863855648
1568,227399.41383279784
1569,153816.52185344225
1570,128531.38067782953
1571,91147.12116409409
1572,142110.763597565
1573,266467.49572969065
1574,130236.61826926304
1575,225863.38312099475
1576,226972.81012388112
1577,180998.1681950243
1578,148360.5730460949
1579,124838.4448892759
1580,192232.039082973
1581,163154.0769475427
1582,139985.21238681208
1583,292735.1393371043
1584,219636.39850703094
1585,131415.712018303
1586,88024.24911962585
